# ----------------------------------------
# 1 Master View
# Localização
# 20200203-20200209
# ----------------------------------------

País,Usuários,Novos usuários,Sessões,Taxa de rejeição,Páginas / sessão,Duração média da sessão,Transações,Receita,Taxa de conversão do comércio eletrônico
United States,5.052,4.200,6.147,"30,60%","6,21",00:03:41,20,"US$ 960,80","0,33%"
India,1.007,941,1.119,"59,25%","2,86",00:01:53,0,"US$ 0,00","0,00%"
United Kingdom,731,657,820,"59,27%","2,85",00:01:44,1,"US$ 72,00","0,12%"
Canada,579,502,815,"34,85%","4,42",00:04:17,0,"US$ 0,00","0,00%"
France,416,363,498,"59,04%","2,63",00:01:36,0,"US$ 0,00","0,00%"
Spain,378,319,539,"53,62%","3,25",00:04:46,0,"US$ 0,00","0,00%"
Japan,329,297,388,"58,76%","2,68",00:01:45,0,"US$ 0,00","0,00%"
Germany,293,265,335,"54,63%","3,79",00:02:05,0,"US$ 0,00","0,00%"
South Korea,262,241,346,"49,71%","3,13",00:02:17,0,"US$ 0,00","0,00%"
Taiwan,212,188,250,"43,20%","3,65",00:02:38,0,"US$ 0,00","0,00%"
,12.756,11.220,15.315,"45,39%","4,40",00:02:53,22,"US$ 1.082,30","0,14%"
