text,user,location,followers
Mais um dia épico de #ccxp2019! E também o último... Quero deixar um agradecimento enorme a todos que estiveram pre… https://t.co/wyRHtYEAmJ,mariocau,"Campinas, Brazil",3726
"A Fera, o Urso e a Bela. #ccxp2019 em São Paulo Expo https://t.co/7YXm7l8pqZ",JaumGodoy,São Paulo,3984
"FOI ÉPICO 

#ccxp2019 #SP https://t.co/MJwG5uNXB1",Meninooo_,Brasília,732
"Finalmente foto com o novo biriteiro, pai da podosfera brasileira, senhor Alexandre Otonni, o @jovemnerd. Lambda, l… https://t.co/sbOr1k50eS",_renatofh,"Teresina, PI",365
Com a pança de quem comeu umas 15 caixas de biscoitos Scooby. #CCXP2019 em CCXP https://t.co/z5U3bcf6Ct,CaioGomesSantos,,24
"Onde eu fui amarrar meu jegue? 
#ccxp2019 #superhomem #thor 
thorbr jamesbrabo https://t.co/ODdufDtvBR",oespecialistacf,Brasília,326
"Itens novos da minha casa Corvinal 😎
#ccxp2019 #hogwarts #corvinal #ravenclaw https://t.co/jjzyb5N6o3",oespecialistacf,Brasília,326
Frase que resume o dia de hoje: Difícil de focar. #CCXP2019  #conceito @DolphoDevito https://t.co/NvRuGcpuIg,GabyWarhol,"Sao Paulo, Brazil",49
"Será que foi sonho, ou esse homão de aço realmente deu as caras na #CCXP2019?! Kkk Ainda tô passado com a chegada s… https://t.co/SOGgmk81OJ",HugoGloss,Brazil,2469140
"Saiu o trailer!!!! June 4, 2020 ❤
#GalGadot #CCXP2019 #WonderWoman  #MulherMaravilha1984 https://t.co/SZjdoVMmAP",Sheila35778966,"Garanhuns, Brasil",0
"E não é que fui trabalhar na #CCXP2019? Encontrei uma galera sensacional, inclusive!
#FoxTraducao #hbo… https://t.co/ovjYtmag4O",CkzCaique,São Paulo/Brasil,194
"Por que choras, Margot Robbie? Óbvio que fui prestigiar essa mulher perfeita ontem! @Ray_Neon #ccxp2019 @ CCXP 2019 https://t.co/sGgYTCN6Z3",marcisantuness,,808
todos sobreviveram pós painéis de sábado?? #CCXP19 #CCXP #CCXP2019,suckzvaldez,✿ wakanda ,70
"Não se esqueça,
num mundo de simples mortais,
você é uma mulher maravilha!

Me nota @GalGadot
.
.
.
.
.
.
.
.
.
.
.… https://t.co/wPE1FSeOTV",Opaudacheetara,São Paulo,242
os feelings pós #CCXP2019 https://t.co/HmOyYDte5T,shhhiroyo,shhhaai - shhharts - shhhiroyo,366
Encontro de editores épicos  no apagar das luzes da #Ccxp2019 @marcelodelgreco https://t.co/PXxdHlG62z,cassiusmedauar,Brasil,6504
"Não se esqueça,
num mundo de simples mortais,
você é uma mulher maravilha!

Me nota @GalGadot
.
.
.
.
.
.
.
.
.
.
.… https://t.co/z99hN3zDWo",Opaudacheetara,São Paulo,242
"o verdadeiro significado de: mais que amigos, friends! ❤️☕️✨ #ccxp2019 #CentralPerk @ CCXP 2019 https://t.co/M6IWtqIlKu",morilu,São Paulo,5842
